Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J35,782,7,0,391,0,0
J50,852,8,1,513,0,0
J12,1110,8,20,652,0,0
J28,834,3,39,738,0,0
J49,828,7,101,833,5,1
J1,758,7,113,839,81,1
J10,846,5,125,931,85,1
J26,926,1,158,1009,83,1
J37,1100,9,230,1059,0,0
J42,698,2,296,1089,391,1
J3,722,8,321,1116,394,1
J22,726,1,339,1134,408,1
J31,956,9,350,1191,235,1
J24,738,6,417,1213,475,1
J48,634,4,437,1219,585,1
J7,810,3,513,1235,425,1
J20,1174,2,526,1315,141,1
J6,1132,10,582,1388,256,1
J15,990,6,658,1403,413,1
J46,742,5,722,1439,697,1
J21,1234,5,749,1573,339,1
J33,828,5,789,1669,841,1
J23,840,10,807,1739,899,1
J11,844,4,819,1796,952,1
J14,882,3,895,1871,989,1
J38,896,7,988,1923,1027,1
J25,988,9,1010,1945,957,1
J40,1012,4,1071,1976,964,1
J18,978,8,1130,1986,1008,1
J44,880,9,1138,2000,1120,1
J13,1014,8,1189,2065,1051,1
J47,912,2,1283,2096,1184,1
J17,938,2,1316,2140,1202,1
J9,952,8,1376,2225,1273,1
J45,968,10,1411,2270,1302,1
J5,992,7,1480,2274,1282,1
J30,1004,4,1522,2319,1315,1
J43,1038,10,1589,2330,1292,1
J39,1240,2,1632,2482,1242,1
J32,1038,3,1727,2565,1527,1
J41,1096,9,1795,2631,1535,1
J27,1018,10,1874,2637,1619,1
J34,1120,3,1926,2731,1611,1
J4,1168,5,1936,2802,1634,1
J2,1062,4,2021,2813,1751,1
J29,1114,7,2093,2907,1793,1
J19,1232,6,2178,2985,1753,1
J36,1210,5,2244,3019,1809,1
J16,1282,5,2336,3142,1860,1
J8,1334,7,2418,3230,1896,1

TT,TWT,T_max,NT,,,
43701,257605,1896,45,,,
