Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J19,406,6,0,203,0,0
J16,410,5,36,284,0,0
J12,398,8,50,333,0,0
J5,336,7,89,344,8,1
J15,350,6,107,355,5,1
J9,286,8,140,365,79,1
J18,494,8,196,455,0,0
J13,524,8,218,550,26,1
J6,632,10,309,650,18,1
J3,658,8,350,712,54,1
J1,518,7,425,752,234,1
J11,340,4,452,814,474,1
J8,664,7,454,903,239,1
J4,486,5,512,913,427,1
J2,628,4,606,1009,381,1
J7,354,3,698,1066,712,1
J10,536,5,735,1121,585,1
J14,580,3,755,1155,575,1
J20,474,2,836,1182,708,1
J17,480,2,901,1233,753,1

TT,TWT,T_max,NT
5278,20112,753,16

Metric,Value
Objective optimized,TWT
Runtime (s),0.41701412200927734
Iterations,5
k,4
Seed,42
