Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,1222,0,649,0,0
2,812,0,652,0,0
3,1232,95,751,0,0
4,844,77,838,0,0
5,1230,168,898,0,0
6,1104,350,990,0,0
7,1102,302,1065,0,0
8,908,168,1118,210,1
9,914,238,1148,234,1
10,792,127,1207,415,1
11,1204,360,1302,98,1
12,882,168,1387,505,1
13,998,280,1450,452,1
14,722,0,1471,749,1
15,734,78,1549,815,1
16,1212,383,1621,409,1
17,1022,371,1708,686,1
18,1250,876,1760,510,1
19,656,0,1799,1143,1
20,1226,1074,1892,666,1
21,670,118,1914,1244,1
22,1138,1177,1996,858,1
23,906,1152,2017,1111,1
24,1026,1216,2082,1056,1
25,1500,1277,2163,663,1
26,1232,1367,2222,990,1
27,818,1425,2295,1477,1
28,936,1430,2369,1433,1
29,962,1512,2402,1440,1
30,1030,1577,2455,1425,1
31,1352,1648,2502,1150,1
32,1218,1750,2604,1386,1
33,1016,1797,2615,1599,1
34,1018,1807,2680,1662,1
35,1554,1854,2785,1231,1
36,1152,2012,2857,1705,1
37,818,2144,2860,2042,1
38,812,2256,2910,2098,1
39,886,2306,3005,2119,1
40,938,2395,3039,2101,1
41,724,188,3093,2369,1
42,956,2430,3148,2192,1
43,1078,2478,3225,2147,1
44,926,2594,3261,2335,1
45,836,2592,3266,2430,1
46,1186,2642,3391,2205,1
47,1092,2842,3467,2375,1
48,1154,2941,3518,2364,1
49,768,3044,3616,2848,1
50,1124,3058,3620,2496,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,59443,2.2560,0.00,59443.0,59443.0
