Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,758,0,684,0,0
2,1062,12,695,0,0
3,722,0,722,0,0
4,1168,127,850,0,0
5,992,173,854,0,0
6,1132,215,927,0,0
7,810,18,943,133,1
8,1334,291,1060,0,0
9,952,394,1145,193,1
10,846,74,1237,391,1
11,844,31,1294,450,1
12,1110,584,1429,319,1
13,1014,484,1478,464,1
14,882,493,1553,671,1
15,990,586,1568,578,1
16,1282,650,1645,363,1
17,938,762,1689,751,1
18,978,859,1722,744,1
19,1232,871,1874,642,1
20,1174,971,1954,780,1
21,1234,1027,2046,812,1
22,726,103,2064,1338,1
23,840,1158,2134,1294,1
24,738,180,2156,1418,1
25,988,1421,2178,1190,1
26,926,1324,2256,1330,1
27,1018,1496,2262,1244,1
28,834,1486,2362,1528,1
29,1114,1548,2456,1342,1
30,1004,1674,2501,1497,1
31,956,1732,2558,1602,1
32,1038,1799,2638,1600,1
33,828,1557,2734,1906,1
34,1120,1974,2828,1708,1
35,782,1557,2833,2051,1
36,1210,1984,2861,1651,1
37,1100,1974,2916,1816,1
38,896,1708,2997,2101,1
39,1240,2076,3085,1845,1
40,1012,1957,3118,2106,1
41,1096,2016,3184,2088,1
42,698,0,3214,2516,1
43,1038,2042,3225,2187,1
44,880,2138,3285,2405,1
45,968,2189,3376,2408,1
46,742,170,3408,2666,1
47,912,2349,3439,2527,1
48,634,0,3445,2811,1
49,828,2353,3582,2754,1
50,852,2773,3677,2825,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,63045,1.4164,0.00,63045.0,63045.0
