Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,866,0,745,0,0
2,1056,55,792,0,0
3,1140,115,831,0,0
4,1114,173,897,0,0
5,1292,218,938,0,0
6,984,104,984,0,0
7,944,46,1025,81,1
8,952,90,1127,175,1
9,1332,427,1228,0,0
10,1020,114,1278,258,1
11,1222,583,1371,149,1
12,984,121,1393,409,1
13,1050,189,1474,424,1
14,994,223,1572,578,1
15,1332,889,1666,334,1
16,1118,884,1763,645,1
17,1194,931,1817,623,1
18,860,0,1899,1039,1
19,936,120,1910,974,1
20,928,46,2001,1073,1
21,998,186,2024,1026,1
22,910,63,2056,1146,1
23,1304,1260,2083,779,1
24,788,0,2105,1317,1
25,974,131,2157,1183,1
26,916,65,2273,1357,1
27,630,0,2307,1677,1
28,1096,1438,2420,1324,1
29,1008,307,2479,1471,1
30,806,44,2481,1675,1
31,962,138,2585,1623,1
32,924,132,2669,1745,1
33,860,128,2731,1871,1
34,946,207,2801,1855,1
35,970,231,2880,1910,1
36,1014,1800,3003,1989,1
37,834,155,3060,2226,1
38,1140,1850,3141,2001,1
39,830,117,3151,2321,1
40,1258,1914,3191,1933,1
41,976,320,3253,2277,1
42,672,19,3305,2633,1
43,1026,2156,3408,2382,1
44,754,143,3442,2688,1
45,1130,2251,3453,2323,1
46,1138,2475,3534,2396,1
47,1044,2536,3585,2541,1
48,890,378,3606,2716,1
49,934,2531,3645,2711,1
50,1150,3097,3672,2522,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,64380,1.5042,0.00,64380.0,64380.0
