Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,1068,0,813,0,0
2,930,0,847,0,0
3,1022,28,913,0,0
4,1166,91,916,0,0
5,1486,164,968,0,0
6,678,0,971,293,1
7,1078,91,1090,12,1
8,1118,170,1179,61,1
9,1084,250,1257,173,1
10,1082,207,1319,237,1
11,1062,203,1359,297,1
12,1036,210,1373,337,1
13,856,152,1414,558,1
14,1376,524,1492,116,1
15,1014,198,1560,546,1
16,1088,379,1653,565,1
17,750,55,1663,913,1
18,786,97,1714,928,1
19,1440,822,1841,401,1
20,928,178,1876,948,1
21,820,169,1961,1141,1
22,948,223,1997,1049,1
23,842,223,2022,1180,1
24,1174,1102,2084,910,1
25,1140,1162,2112,972,1
26,632,48,2201,1569,1
27,696,55,2292,1596,1
28,1082,448,2379,1297,1
29,1114,1438,2437,1323,1
30,1056,339,2462,1406,1
31,902,267,2514,1612,1
32,1056,1684,2606,1550,1
33,750,112,2673,1923,1
34,838,260,2674,1836,1
35,1108,1706,2743,1635,1
36,810,257,2780,1970,1
37,1108,1823,2890,1782,1
38,944,358,2910,1966,1
39,1298,1851,2939,1641,1
40,768,368,2992,2224,1
41,624,0,3029,2405,1
42,1032,2049,3127,2095,1
43,1172,2106,3195,2023,1
44,1034,2064,3269,2235,1
45,1056,2295,3276,2220,1
46,904,2171,3340,2436,1
47,1326,2520,3364,2038,1
48,788,2234,3449,2661,1
49,954,2585,3480,2526,1
50,1344,2859,3531,2187,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,59793,1.7707,0.00,59793.0,59793.0
