Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,878,112,882,4,1
2,1106,0,553,0,0
3,1424,40,805,0,0
4,1212,40,852,0,0
5,862,0,841,0,0
6,906,180,913,7,1
7,824,0,911,87,1
8,1132,239,1083,0,0
9,904,180,1097,193,1
10,916,264,1161,245,1
11,1288,328,1352,64,1
12,1074,307,1386,312,1
13,822,67,1402,580,1
14,1128,397,1511,383,1
15,850,90,1543,693,1
16,1150,417,1846,696,1
17,1258,474,1881,623,1
18,1140,417,2022,882,1
19,954,307,1956,1002,1
20,902,264,2105,1203,1
21,1028,376,2206,1178,1
22,1034,392,2221,1187,1
23,1098,433,2394,1296,1
24,1098,440,2419,1321,1
25,644,0,2421,1777,1
26,896,187,2483,1587,1
27,1038,433,2580,1542,1
28,928,320,2608,1680,1
29,638,54,2590,1952,1
30,664,137,2671,2007,1
31,934,405,2732,1798,1
32,1028,434,2837,1809,1
33,358,176,2786,2428,1
34,1078,498,2846,1768,1
35,1090,507,2931,1841,1
36,982,434,2958,1976,1
37,1016,498,3087,2071,1
38,822,187,3082,2260,1
39,1084,570,3157,2073,1
40,882,257,3206,2324,1
41,1158,617,3273,2115,1
42,970,434,3367,2397,1
43,1090,570,3373,2283,1
44,870,559,3508,2638,1
45,718,540,3576,2858,1
46,1116,630,3681,2565,1
47,866,577,3704,2838,1
48,1174,682,3824,2650,1
49,854,3154,3819,2965,1
50,778,3111,3938,3160,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,69318,1.3773,0.00,69318.0,69318.0
