Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,1140,0,658,0,0
2,1186,49,726,0,0
3,942,0,765,0,0
4,1204,131,836,0,0
5,772,0,867,95,1
6,1062,154,1015,0,0
7,850,7,1020,170,1
8,936,63,1157,221,1
9,706,0,1163,457,1
10,790,7,1257,467,1
11,1144,210,1319,175,1
12,1226,647,1408,182,1
13,846,41,1431,585,1
14,1216,749,1579,363,1
15,1340,780,1629,289,1
16,1042,156,1682,640,1
17,974,156,1709,735,1
18,872,66,1741,869,1
19,816,41,1842,1026,1
20,638,78,1960,1322,1
21,1116,1087,2026,910,1
22,978,174,2084,1106,1
23,1060,1170,2202,1142,1
24,986,259,2222,1236,1
25,1050,1281,2235,1185,1
26,1224,1334,2338,1114,1
27,926,81,2367,1441,1
28,980,179,2490,1510,1
29,836,80,2563,1727,1
30,1052,1527,2573,1521,1
31,956,226,2665,1709,1
32,1150,1653,2758,1608,1
33,842,191,2780,1938,1
34,964,1737,2855,1891,1
35,1204,1810,2939,1735,1
36,1048,1897,2948,1900,1
37,896,1971,2975,2079,1
38,1148,2018,3055,1907,1
39,972,2086,3150,2178,1
40,1042,2146,3233,2191,1
41,1122,2199,3303,2181,1
42,746,162,3316,2570,1
43,1326,2237,3331,2005,1
44,750,221,3421,2671,1
45,932,2407,3434,2502,1
46,844,2368,3532,2688,1
47,1632,2738,3590,1958,1
48,1006,2830,3630,2624,1
49,1056,2964,3633,2577,1
50,1016,3100,3657,2641,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,64041,1.7771,0.00,64041.0,64041.0
