Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,1058,0,586,0,0
2,988,0,681,0,0
3,906,0,729,0,0
4,800,67,800,0,0
5,988,103,895,0,0
6,1034,120,917,0,0
7,1000,143,920,0,0
8,654,0,942,288,1
9,1024,256,1062,38,1
10,874,97,1099,225,1
11,866,102,1155,289,1
12,684,20,1169,485,1
13,1422,397,1343,0,0
14,852,128,1384,532,1
15,706,23,1388,682,1
16,690,104,1468,778,1
17,990,234,1498,508,1
18,924,162,1598,674,1
19,778,175,1617,839,1
20,1240,775,1784,544,1
21,928,297,1796,868,1
22,730,213,1807,1077,1
23,982,305,1852,870,1
24,682,102,1969,1287,1
25,878,232,2015,1137,1
26,912,233,2074,1162,1
27,662,96,2090,1428,1
28,792,247,2123,1331,1
29,1240,1077,2289,1049,1
30,986,1143,2311,1325,1
31,886,268,2360,1474,1
32,964,1246,2425,1461,1
33,1110,1337,2520,1410,1
34,1144,1365,2608,1464,1
35,1008,1476,2653,1645,1
36,734,279,2705,1971,1
37,734,1615,2736,2002,1
38,1304,1708,2802,1498,1
39,718,394,2819,2101,1
40,1160,1742,2890,1730,1
41,1110,1802,2989,1879,1
42,1402,1976,3067,1665,1
43,1276,2178,3154,1878,1
44,1270,2488,3199,1929,1
45,886,2081,3277,2391,1
46,860,2097,3328,2468,1
47,1294,2715,3415,2121,1
48,1050,2766,3419,2369,1
49,612,43,3478,2866,1
50,1222,2937,3548,2326,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,56064,2.0801,0.00,56064.0,56064.0
