Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,968,0,753,0,0
2,1178,56,833,0,0
3,1050,56,849,0,0
4,1026,56,889,0,0
5,934,58,934,0,0
6,1060,148,1048,0,0
7,918,72,1084,166,1
8,1018,122,1128,110,1
9,1004,88,1251,247,1
10,1370,495,1333,0,0
11,868,0,1399,531,1
12,1096,174,1492,396,1
13,656,9,1536,880,1
14,880,648,1591,711,1
15,878,719,1659,781,1
16,1248,740,1743,495,1
17,826,895,1820,994,1
18,1342,957,1902,560,1
19,1064,998,1950,886,1
20,892,964,2019,1127,1
21,560,0,2028,1468,1
22,1018,1020,2167,1149,1
23,1094,1106,2213,1119,1
24,1064,1175,2335,1271,1
25,986,1216,2404,1418,1
26,940,1225,2563,1623,1
27,964,1240,2638,1674,1
28,488,21,2644,2156,1
29,946,1418,2704,1758,1
30,1044,1451,2716,1672,1
31,784,32,2777,1993,1
32,822,101,2829,2007,1
33,1122,1665,2935,1813,1
34,870,1714,2986,2116,1
35,950,1797,3080,2130,1
36,914,1777,3137,2223,1
37,1148,2083,3202,2054,1
38,930,1911,3207,2277,1
39,768,101,3233,2465,1
40,828,2011,3267,2439,1
41,830,2380,3328,2498,1
42,1180,2511,3391,2211,1
43,928,2587,3463,2535,1
44,976,2671,3477,2501,1
45,1052,2731,3520,2468,1
46,1106,2797,3523,2417,1
47,1072,2888,3617,2545,1
48,966,2919,3671,2705,1
49,1120,2996,3684,2564,1
50,1324,3111,3773,2449,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,69602,1.8370,0.00,69602.0,69602.0
