Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,1138,0,661,0,0
2,1288,116,760,0,0
3,724,0,854,130,1
4,1096,10,855,0,0
5,810,10,928,118,1
6,1152,97,986,0,0
7,904,98,987,83,1
8,1170,239,1170,0,0
9,1050,248,1256,206,1
10,1040,231,1353,313,1
11,880,41,1420,540,1
12,898,65,1421,523,1
13,1280,767,1512,232,1
14,1210,887,1621,411,1
15,840,41,1683,843,1
16,930,191,1692,762,1
17,1004,200,1780,776,1
18,1142,1118,1816,674,1
19,922,133,1920,998,1
20,962,230,1951,989,1
21,984,1267,2056,1072,1
22,1192,1387,2109,917,1
23,740,10,2156,1416,1
24,794,66,2261,1467,1
25,1056,1474,2315,1259,1
26,910,155,2411,1501,1
27,972,1568,2459,1487,1
28,838,111,2531,1693,1
29,1286,1641,2627,1341,1
30,1252,1627,2718,1466,1
31,880,166,2767,1887,1
32,940,230,2859,1919,1
33,952,1812,2862,1910,1
34,944,1876,2907,1963,1
35,886,1873,2935,2049,1
36,1376,1947,2972,1596,1
37,892,2016,3023,2131,1
38,848,125,3119,2271,1
39,970,2154,3207,2237,1
40,888,2191,3290,2402,1
41,862,383,3314,2452,1
42,874,2244,3372,2498,1
43,1136,2272,3393,2257,1
44,820,404,3418,2598,1
45,686,65,3430,2744,1
46,1300,2603,3549,2249,1
47,1044,2724,3607,2563,1
48,1288,2911,3655,2367,1
49,1006,3014,3692,2686,1
50,1124,3174,3736,2612,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,66608,1.5358,0.00,66608.0,66608.0
