job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,1058,66,55,65,57,58,38,5,26,66,93
2,988,46,63,35,72,66,23,13,40,41,95
3,906,25,71,49,48,5,13,36,84,74,48
4,800,30,21,2,6,69,1,54,84,62,71
5,988,17,74,95,10,38,10,76,74,70,30
6,1034,40,65,14,98,93,76,40,39,30,22
7,1000,17,52,67,55,59,49,67,65,66,3
8,654,20,91,8,71,56,2,31,15,11,22
9,1024,73,12,62,19,26,81,35,71,51,82
10,874,5,22,25,28,96,43,48,92,43,35
11,866,60,12,2,31,60,51,85,44,32,56
12,684,3,26,40,79,18,71,41,27,23,14
13,1422,91,97,68,69,74,29,82,93,20,88
14,852,34,30,75,11,93,44,95,2,1,41
15,706,81,30,72,4,12,26,15,55,54,4
16,690,58,12,5,12,56,27,24,44,55,52
17,990,48,94,5,71,36,27,77,55,65,17
18,924,71,46,10,62,71,56,6,23,22,95
19,778,57,20,33,2,38,21,79,25,99,15
20,1240,5,73,56,95,96,76,36,1,97,85
21,928,8,58,89,35,84,88,18,51,21,12
22,730,19,10,54,82,84,9,21,12,63,11
23,982,78,77,31,57,65,33,34,47,45,24
24,682,2,27,1,7,17,6,42,98,70,71
25,878,1,33,61,24,78,40,74,41,41,46
26,912,78,53,25,62,45,64,46,18,6,59
27,662,8,23,11,70,83,5,1,44,70,16
28,792,14,2,7,89,53,5,88,72,33,33
29,1240,46,65,88,87,60,7,29,88,97,53
30,986,98,35,65,21,60,5,95,60,32,22
31,886,50,7,74,54,9,76,67,29,28,49
32,964,88,54,16,16,7,63,41,99,54,44
33,1110,28,43,87,72,51,35,98,2,63,76
34,1144,66,87,57,31,85,94,31,17,16,88
35,1008,43,56,89,24,66,65,25,79,12,45
36,734,23,4,85,94,6,25,70,6,2,52
37,734,93,29,46,18,3,6,62,29,50,31
38,1304,52,35,54,83,93,87,45,89,48,66
39,718,1,37,23,36,88,60,59,4,34,17
40,1160,77,53,23,73,40,33,68,70,75,68
41,1110,54,10,96,67,85,67,22,10,45,99
42,1402,45,90,79,74,92,81,81,79,2,78
43,1276,56,95,70,75,15,93,44,64,39,87
44,1270,54,85,33,93,51,98,80,92,4,45
45,886,57,2,50,16,55,9,88,42,46,78
46,860,23,36,18,74,19,94,25,79,11,51
47,1294,18,85,65,70,58,49,93,56,66,87
48,1050,88,5,87,16,84,27,61,94,59,4
49,612,38,3,18,81,4,62,1,26,28,45
50,1222,72,45,15,93,23,90,97,93,74,9
