job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,758,12,13,82,20,91,25,47,77,6,6
2,1062,72,64,52,77,33,61,77,21,63,11
3,722,18,7,72,63,5,58,47,8,56,27
4,1168,85,60,81,28,51,52,57,36,63,71
5,992,42,75,61,77,30,81,2,49,75,4
6,1132,76,75,36,34,20,33,77,86,56,73
7,810,13,63,10,96,26,64,45,50,22,16
8,1334,82,87,62,88,53,14,69,60,89,63
9,952,35,93,11,20,91,67,19,26,29,85
10,846,33,73,46,26,40,3,70,7,33,92
11,844,76,5,42,4,52,32,97,11,46,57
12,1110,19,18,32,30,55,78,61,76,96,90
13,1014,94,75,39,40,9,55,61,33,52,49
14,882,93,20,44,18,33,26,15,74,43,75
15,990,64,30,95,36,32,79,16,68,60,15
16,1282,82,99,10,98,17,92,82,10,87,64
17,938,60,19,96,24,77,57,44,2,46,44
18,978,8,70,55,70,30,90,17,54,85,10
19,1232,66,55,67,66,37,68,37,58,84,78
20,1174,56,11,86,15,79,73,51,82,54,80
21,1234,40,78,75,96,68,57,23,14,74,92
22,726,11,66,58,29,31,55,67,9,19,18
23,840,12,92,10,74,17,19,34,10,82,70
24,738,20,57,65,39,7,47,45,48,19,22
25,988,61,91,9,16,19,86,42,90,58,22
26,926,72,56,22,72,19,26,23,89,6,78
27,1018,52,1,56,92,62,96,56,3,85,6
28,834,62,17,34,9,3,45,59,20,82,86
29,1114,85,61,98,10,99,4,80,24,2,94
30,1004,67,51,82,45,94,17,18,67,16,45
31,956,67,3,65,32,62,9,18,90,75,57
32,1038,68,72,68,9,24,60,67,19,52,80
33,828,18,72,49,46,2,23,23,72,13,96
34,1120,10,21,98,83,99,54,41,59,1,94
35,782,1,2,36,63,7,42,98,94,43,5
36,1210,92,36,51,58,93,30,48,84,85,28
37,1100,66,42,19,77,1,78,85,59,73,50
38,896,22,59,68,26,27,43,29,43,79,52
39,1240,95,12,24,88,20,80,80,81,91,49
40,1012,59,31,35,78,97,43,43,38,51,31
41,1096,79,72,8,79,81,7,93,62,1,66
42,698,25,39,9,37,23,27,28,85,46,30
43,1038,43,99,69,13,75,23,98,85,3,11
44,880,51,9,73,39,16,55,73,84,26,14
45,968,69,68,49,75,21,66,5,71,15,45
46,742,27,27,29,60,47,90,6,31,22,32
47,912,33,22,36,58,68,63,88,39,18,31
48,634,76,60,10,2,41,38,36,40,8,6
49,828,12,28,9,70,54,65,20,41,20,95
50,852,19,66,1,9,58,82,24,40,32,95
