job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,1138,65,55,87,38,38,22,34,99,81,50
2,1288,4,99,72,19,90,63,88,59,51,99
3,724,10,12,33,37,23,63,4,6,80,94
4,1096,87,40,50,75,59,38,98,45,55,1
5,810,31,7,77,8,15,53,83,6,52,73
6,1152,52,8,83,63,72,73,76,27,64,58
7,904,35,14,89,91,63,37,89,31,2,1
8,1170,89,68,90,38,48,68,22,95,59,8
9,1050,28,4,26,92,94,38,23,91,88,41
10,1040,45,63,93,25,12,10,70,94,11,97
11,880,24,27,8,19,63,74,69,21,68,67
12,898,68,61,86,42,46,27,30,72,16,1
13,1280,94,65,39,89,60,84,11,65,75,58
14,1210,71,7,13,80,72,65,89,41,94,73
15,840,70,14,59,11,33,40,79,9,43,62
16,930,2,16,99,84,50,97,29,56,23,9
17,1004,83,3,98,33,25,82,52,33,5,88
18,1142,85,31,76,42,14,98,68,98,53,6
19,922,97,56,52,51,20,50,14,11,76,34
20,962,65,67,43,18,50,23,99,51,60,5
21,984,64,74,79,56,32,66,4,7,51,59
22,1192,38,59,64,83,87,56,3,94,96,16
23,740,54,81,4,49,42,30,4,43,50,13
24,794,26,43,19,14,70,27,33,47,38,80
25,1056,40,57,45,1,92,36,98,77,28,54
26,910,75,11,80,23,10,19,44,89,8,96
27,972,59,32,15,72,75,28,34,53,70,48
28,838,38,21,43,24,57,66,13,34,51,72
29,1286,40,73,37,63,30,70,78,79,77,96
30,1252,89,75,49,15,45,79,15,85,83,91
31,880,64,46,36,33,91,21,25,4,71,49
32,940,84,34,33,93,20,26,35,12,41,92
33,952,47,50,83,5,32,81,16,99,60,3
34,944,62,47,28,78,9,61,37,80,25,45
35,886,74,22,46,33,72,19,69,42,38,28
36,1376,38,81,71,91,11,91,82,89,97,37
37,892,79,42,59,56,5,43,13,85,13,51
38,848,57,4,15,99,17,34,51,46,5,96
39,970,8,49,50,29,66,85,48,4,58,88
40,888,46,24,53,15,17,73,53,58,22,83
41,862,27,54,51,54,92,82,13,17,17,24
42,874,28,29,56,46,10,15,46,98,51,58
43,1136,62,87,76,2,93,65,39,71,52,21
44,820,34,38,48,90,36,42,1,81,15,25
45,686,18,19,11,96,40,48,72,26,1,12
46,1300,63,65,35,93,74,28,28,80,99,85
47,1044,74,23,88,3,99,25,20,70,62,58
48,1288,26,77,59,53,86,84,90,49,72,48
49,1006,28,71,51,97,29,37,84,24,45,37
50,1124,78,90,13,51,70,88,38,41,90,3
