job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,770,16,13,42,37,68,24,51,8,59,67
2,960,90,27,21,43,3,1,57,54,85,99
3,1080,63,27,21,87,58,57,82,15,73,57
4,1240,73,9,90,77,57,86,47,47,87,47
5,1314,57,88,54,39,49,35,82,73,87,93
6,624,17,3,64,35,13,9,14,33,89,35
7,1042,29,29,55,49,72,55,79,73,48,32
8,1036,16,96,93,66,13,8,57,35,57,77
9,990,94,39,1,35,13,93,88,45,59,28
10,836,47,15,36,2,5,11,79,75,73,75
11,1064,24,61,16,38,88,39,22,83,66,95
12,874,39,76,7,73,38,10,72,12,95,15
13,1138,2,79,98,28,82,84,58,59,61,18
14,1186,5,67,20,97,41,80,78,95,13,97
15,1068,75,6,83,20,61,59,18,96,79,37
16,1154,7,61,77,46,85,37,48,75,88,53
17,1282,74,32,39,85,81,80,72,62,19,97
18,1166,96,76,63,53,53,69,38,44,18,73
19,1226,94,96,72,78,65,13,71,43,21,60
20,1030,44,59,47,73,89,19,82,30,33,39
21,966,63,85,21,72,50,25,61,47,11,48
22,1100,38,36,98,82,78,92,73,36,8,9
23,848,22,23,97,59,38,45,50,65,8,17
24,1322,76,72,86,24,82,14,56,85,83,83
25,632,2,71,7,6,38,73,95,1,13,10
26,1062,11,44,81,94,38,85,16,71,89,2
27,1078,71,88,5,67,85,75,6,13,63,66
28,1200,94,58,56,66,55,96,7,54,64,50
29,978,77,51,57,30,64,33,86,2,53,36
30,836,57,73,15,33,47,17,21,82,28,45
31,806,45,10,7,32,87,76,27,16,17,86
32,1020,58,85,85,51,66,96,44,15,2,8
33,716,16,16,77,38,5,4,64,14,77,47
34,770,96,41,14,8,16,16,32,49,61,52
35,1056,41,40,23,82,48,9,46,68,73,98
36,866,52,57,10,63,29,66,37,28,69,22
37,1258,57,85,93,77,67,46,39,87,23,55
38,1354,39,73,57,73,72,64,96,85,56,62
39,900,74,9,58,66,5,3,44,90,78,23
40,1122,35,24,31,65,79,93,70,17,65,82
41,1258,52,94,92,75,30,74,41,54,85,32
42,792,42,4,6,17,64,29,56,59,99,20
43,934,82,96,37,22,3,68,44,25,52,38
44,920,43,37,77,34,80,38,27,23,78,23
45,920,47,84,80,3,11,86,41,60,8,40
46,1026,34,2,41,8,99,90,66,60,58,55
47,1324,96,94,18,87,32,50,87,68,51,79
48,818,13,21,68,50,25,11,42,70,43,66
49,1156,33,4,81,76,84,64,7,80,52,97
50,664,58,73,41,16,12,4,54,4,41,29
