job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5,p_machine6,p_machine7,p_machine8,p_machine9,p_machine10
1,866,46,61,3,51,37,79,83,22,27,24
2,1056,52,87,1,24,16,93,87,29,92,47
3,1140,79,51,58,21,42,68,38,99,75,39
4,1114,45,25,85,57,47,75,38,25,94,66
5,1292,97,73,33,69,94,37,86,98,18,41
6,984,10,93,71,51,14,44,67,55,41,46
7,944,44,28,58,50,94,34,23,80,37,24
8,952,24,90,56,51,34,39,19,82,58,23
9,1332,85,94,64,21,72,76,97,33,56,68
10,1020,75,59,43,19,36,62,78,68,20,50
11,1222,66,64,48,63,88,74,66,47,2,93
12,984,49,2,69,91,51,28,67,74,39,22
13,1050,95,16,96,11,41,78,7,26,91,64
14,994,61,35,35,6,71,43,23,61,81,81
15,1332,19,53,82,31,94,98,67,95,33,94
16,1118,47,40,53,63,99,83,8,55,14,97
17,1194,84,81,64,36,11,91,77,11,88,54
18,860,13,26,11,39,97,27,71,42,22,82
19,936,11,85,61,57,44,6,85,72,36,11
20,928,19,4,36,47,77,82,29,14,65,91
21,998,98,4,53,56,69,60,49,8,79,23
22,910,2,10,87,65,91,44,3,98,23,32
23,1304,85,63,88,59,38,43,94,90,66,26
24,788,44,96,10,4,25,76,76,36,5,22
25,974,7,55,32,10,87,99,95,75,15,12
26,916,73,71,38,12,7,66,48,69,51,23
27,630,19,66,25,62,66,11,4,26,2,34
28,1096,69,94,24,43,54,35,37,24,81,87
29,1008,12,7,90,49,86,52,82,55,12,59
30,806,73,15,7,54,49,8,57,98,40,2
31,962,85,11,11,87,3,40,61,86,59,38
32,924,23,99,49,29,48,62,6,30,32,84
33,860,53,37,2,2,44,25,97,92,16,62
34,946,16,50,76,18,93,24,5,94,87,10
35,970,88,56,17,75,37,30,27,66,78,11
36,1014,8,69,32,39,82,1,95,47,41,93
37,834,26,22,39,77,31,73,46,3,43,57
38,1140,42,56,9,69,59,27,92,41,94,81
39,830,58,67,83,15,78,16,46,41,1,10
40,1258,63,63,69,78,33,91,52,47,93,40
41,976,7,96,67,68,36,33,8,89,22,62
42,672,2,74,28,37,3,11,11,28,93,49
43,1026,44,4,88,22,58,99,7,39,62,90
44,754,38,42,23,41,10,2,54,80,53,34
45,1130,24,40,91,92,98,60,72,47,30,11
46,1138,76,30,71,67,6,90,57,57,34,81
47,1044,85,93,3,24,44,36,85,74,27,51
48,890,61,36,26,87,62,62,22,38,30,21
49,934,32,25,41,91,24,15,87,59,54,39
50,1150,90,87,96,31,94,3,65,5,77,27
