Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J11,340,4,0,170,0,0
J8,664,7,2,335,0,0
J7,354,3,60,392,38,1
J16,410,5,97,473,63,1
J6,632,10,111,566,0,0
J2,628,4,152,650,22,1
J5,336,7,244,661,325,1
J10,536,5,262,701,165,1
J15,350,6,282,712,362,1
J13,524,8,315,802,278,1
J1,518,7,406,840,322,1
J9,286,8,433,850,564,1
J12,398,8,489,899,501,1
J18,494,8,528,920,426,1
J19,406,6,550,994,588,1
J20,474,2,586,1021,547,1
J17,480,2,651,1072,592,1
J4,486,5,739,1082,596,1
J14,580,3,833,1128,548,1
J3,658,8,914,1255,597,1

TT,TWT,T_max,NT,,,
6534,37401,597,17,,,
