Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J1,332,7,0,166,0,0
J2,472,4,15,288,0,0
J3,636,8,79,397,0,0
J4,536,5,143,460,0,0
J5,470,7,191,531,61,1
J6,860,10,200,653,0,0
J7,488,3,291,692,204,1
J8,688,7,318,801,113,1
J9,476,8,352,858,382,1
J10,230,5,394,874,644,1
J11,564,4,397,1025,461,1
J12,540,8,408,1066,526,1
J13,472,8,462,1107,635,1
J14,310,3,489,1129,819,1
J15,432,6,519,1181,749,1
J16,374,5,528,1219,845,1
J17,496,2,543,1299,803,1
J18,444,8,631,1315,871,1
J19,500,6,686,1409,909,1
J20,576,2,736,1528,952,1

TT,TWT,T_max,NT,,,
8974,46346,952,15,,,
