Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
16,410,0,205,0,0
19,406,14,267,0,0
18,494,50,336,0,0
15,350,72,347,0,0
17,480,105,412,0,0
20,474,193,459,0,0
13,524,258,585,61,1
11,340,349,647,307,1
10,536,351,703,167,1
12,398,371,752,354,1
9,286,410,762,476,1
8,664,466,869,205,1
7,354,524,926,572,1
6,632,561,1032,400,1
5,336,602,1044,708,1
4,486,620,1124,638,1
3,658,714,1240,582,1
2,628,789,1324,696,1
1,518,881,1362,844,1
14,580,908,1396,816,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
FEASIBLE,6826,0.4333,100.00,0.0,6826.0
