Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,396,214,449,53,1
2,732,1021,1387,655,1
3,236,0,155,0,0
4,582,887,1260,678,1
5,210,16,180,0,0
6,682,929,1324,642,1
7,502,429,695,193,1
8,358,30,230,0,0
9,524,317,599,75,1
10,380,110,378,0,0
11,618,714,1040,422,1
12,348,107,317,0,0
13,558,549,885,327,1
14,632,792,1146,514,1
15,554,496,786,232,1
16,692,655,1011,319,1
17,556,621,947,391,1
18,496,363,652,156,1
19,468,275,509,41,1
20,412,151,394,0,0
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,4698,0.0197,0.00,4698.0,4698.0
