Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,730,976,1442,712,1
2,650,957,1351,701,1
3,586,858,1254,668,1
4,446,154,486,40,1
5,768,1029,1513,745,1
6,484,627,910,426,1
7,666,824,1205,539,1
8,546,555,879,333,1
9,438,57,337,0,0
10,662,759,1112,450,1
11,636,720,1039,403,1
12,614,347,702,88,1
13,382,48,255,0,0
14,480,128,440,0,0
15,646,483,852,206,1
16,518,99,404,0,0
17,568,311,639,71,1
18,310,0,170,0,0
19,614,426,783,169,1
20,528,216,558,30,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
FEASIBLE,5581,5.1672,86.44,757.0,5581.0
