Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,322,66,322,0,0
2,466,100,418,0,0
3,484,120,463,0,0
4,518,380,713,195,1
5,540,714,1047,507,1
6,320,0,160,0,0
7,638,427,772,134,1
8,766,947,1369,603,1
9,504,177,517,13,1
10,518,272,617,99,1
11,504,186,528,24,1
12,252,40,214,0,0
13,600,636,972,372,1
14,534,334,658,124,1
15,566,501,836,270,1
16,598,584,934,336,1
17,412,53,314,0,0
18,578,836,1173,595,1
19,752,906,1283,531,1
20,590,776,1071,481,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,4284,0.0201,0.00,4284.0,4284.0
