Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
15,276,0,138,0,0
19,412,38,244,0,0
14,432,60,343,0,0
13,304,84,385,81,1
16,438,160,439,1,1
11,446,165,471,25,1
4,322,190,517,195,1
17,506,247,525,19,1
10,356,338,596,240,1
3,380,424,680,300,1
20,542,433,755,213,1
18,584,460,828,244,1
12,720,489,877,157,1
2,322,528,890,568,1
9,524,622,923,399,1
8,426,687,965,539,1
6,452,760,998,546,1
1,448,839,1081,633,1
7,688,916,1260,572,1
5,632,971,1343,711,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
FEASIBLE,5443,161.0399,24.10,4131.0,5443.0
