Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,332,57,361,29,1
2,472,322,731,259,1
3,636,792,1258,622,1
4,536,265,603,67,1
5,470,0,235,0,0
6,860,897,1375,515,1
7,488,386,770,282,1
8,688,704,1106,418,1
9,476,413,806,330,1
10,230,39,265,35,1
11,564,738,1192,628,1
12,540,455,847,307,1
13,472,640,1003,531,1
14,310,9,257,0,0
15,432,313,646,214,1
16,374,42,316,0,0
17,496,127,492,0,0
18,444,72,412,0,0
19,500,215,529,29,1
20,576,509,957,381,1
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
OPTIMAL,4647,0.0220,0.00,4647.0,4647.0
