Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
1,514,241,555,41,1
2,168,38,150,0,0
3,384,186,415,31,1
4,616,473,917,301,1
5,410,175,408,0,0
6,508,690,1102,594,1
7,578,334,696,118,1
8,426,70,284,0,0
9,702,761,1215,513,1
10,644,595,1009,365,1
11,476,312,651,175,1
12,638,708,1186,548,1
13,478,563,977,499,1
14,294,65,240,0,0
15,704,834,1320,616,1
16,502,376,761,259,1
17,474,134,377,0,0
18,632,388,822,190,1
19,688,928,1376,688,1
20,274,0,137,0,0
,,,,,
Status,TT,Temps (s),Gap (%),BestBound,Objective
FEASIBLE,4938,0.3028,100.00,0.0,4938.0
