Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J5,470,0,235,0,0
J10,230,9,243,13,1
J1,332,12,288,0,0
J19,500,27,347,0,0
J14,310,77,369,59,1
J16,374,107,404,30,1
J17,496,122,484,0,0
J9,476,210,517,41,1
J12,540,252,558,18,1
J2,472,306,637,165,1
J15,432,370,680,248,1
J18,444,379,731,287,1
J7,488,434,770,282,1
J4,536,461,833,297,1
J20,576,509,927,351,1
J3,636,566,986,350,1
J8,688,630,1068,380,1
J11,564,664,1154,590,1
J6,860,675,1252,392,1
J13,472,766,1293,821,1

Status,TT,,,,
FEASIBLE,4324,,,,
