Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J5,336,0,168,0,0
J16,410,18,261,0,0
J9,286,32,271,0,0
J11,340,88,333,0,0
J7,354,90,390,36,1
J12,398,127,439,41,1
J18,494,166,460,0,0
J19,406,188,500,94,1
J15,350,224,511,161,1
J13,524,257,601,77,1
J6,632,348,694,62,1
J10,536,389,734,198,1
J20,474,409,761,287,1
J17,480,474,812,332,1
J1,518,562,854,336,1
J2,628,589,938,310,1
J8,664,681,1019,355,1
J3,658,739,1081,423,1
J4,486,814,1103,617,1
J14,580,908,1198,618,1

Status,TT,,,,
FEASIBLE,3947,,,,
