Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,252,0,133,0,0
J17,382,15,218,0,0
J9,414,47,287,0,0
J15,450,74,334,0,0
J14,470,86,383,0,0
J8,442,115,424,0,0
J16,530,153,511,0,0
J13,394,230,519,125,1
J1,546,244,581,35,1
J19,538,298,649,111,1
J6,554,366,704,150,1
J7,556,402,757,201,1
J11,514,455,853,339,1
J5,706,531,906,200,1
J4,676,608,998,322,1
J2,578,679,1054,476,1
J10,610,762,1069,459,1
J20,540,849,1119,579,1
J12,468,943,1191,723,1
J18,686,1034,1377,691,1

Status,TT,,,,
FEASIBLE,4411,,,,
