Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,236,0,118,0,0
J12,348,16,205,0,0
J5,210,19,227,17,1
J10,380,33,288,0,0
J9,524,74,350,0,0
J1,396,120,405,9,1
J19,468,181,438,0,0
J18,496,223,491,0,0
J4,582,289,580,0,0
J20,412,331,596,184,1
J17,556,394,676,120,1
J15,554,428,767,213,1
J16,692,481,831,139,1
J11,618,540,866,248,1
J8,358,618,916,558,1
J7,502,695,959,457,1
J13,558,762,1094,536,1
J6,682,834,1175,493,1
J14,632,926,1242,610,1
J2,732,1021,1387,655,1

Status,TT,,,,
FEASIBLE,4239,,,,
