Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,380,0,190,0,0
J15,276,9,197,0,0
J14,432,47,296,0,0
J13,304,71,338,34,1
J16,438,147,392,0,0
J19,412,152,422,10,1
J11,446,174,466,20,1
J8,426,199,508,82,1
J4,322,272,554,232,1
J20,542,329,645,103,1
J5,632,356,679,47,1
J6,452,385,712,260,1
J9,524,464,745,221,1
J10,356,529,816,460,1
J18,584,615,907,323,1
J7,688,644,996,308,1
J17,506,699,1004,498,1
J2,322,790,1017,695,1
J1,448,884,1108,660,1
J12,720,961,1321,601,1

Status,TT,,,,
FEASIBLE,4554,,,,
