Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J4,302,0,151,0,0
J10,408,4,208,0,0
J2,494,11,306,0,0
J8,486,47,384,0,0
J16,404,114,400,0,0
J7,436,163,454,18,1
J3,586,195,526,0,0
J5,440,196,545,105,1
J15,388,260,582,194,1
J20,610,349,681,71,1
J17,632,402,768,136,1
J14,544,404,778,234,1
J13,474,464,839,365,1
J11,600,562,877,277,1
J1,650,640,1003,353,1
J19,572,677,1012,440,1
J9,596,756,1069,473,1
J12,526,829,1167,641,1
J6,688,893,1246,558,1
J18,648,967,1342,694,1

Status,TT,,,,
FEASIBLE,4559,,,,
