Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J12,252,0,126,0,0
J6,320,13,180,0,0
J17,412,53,276,0,0
J1,322,66,284,0,0
J2,466,100,396,0,0
J3,484,120,441,0,0
J9,504,177,500,0,0
J11,504,186,511,7,1
J10,518,272,600,82,1
J14,534,334,645,111,1
J5,540,380,720,180,1
J20,590,442,747,157,1
J4,518,502,804,286,1
J15,566,549,868,302,1
J16,598,632,971,373,1
J18,578,684,1007,429,1
J19,752,754,1130,378,1
J7,638,794,1189,551,1
J13,600,868,1227,627,1
J8,766,946,1329,563,1

Status,TT,,,,
FEASIBLE,4046,,,,
