Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J13,382,0,191,0,0
J16,518,9,293,0,0
J14,480,38,329,0,0
J9,438,64,412,0,0
J18,310,106,430,120,1
J17,568,154,511,0,0
J4,446,190,557,111,1
J8,546,252,584,38,1
J11,636,324,675,39,1
J7,666,363,736,70,1
J20,528,397,808,280,1
J2,650,492,854,204,1
J12,614,511,917,303,1
J6,484,590,948,464,1
J19,614,683,1029,415,1
J15,646,740,1098,452,1
J10,662,812,1163,501,1
J1,730,877,1242,512,1
J5,768,930,1319,551,1
J3,586,1018,1363,777,1

Status,TT,,,,
FEASIBLE,4837,,,,
