Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J20,274,2,0,137,0,0
J2,168,4,38,150,0,0
J14,294,3,65,240,0,0
J13,478,8,70,361,0,0
J8,426,7,102,405,0,0
J5,410,7,166,425,15,1
J3,384,8,177,432,48,1
J1,514,7,232,550,36,1
J18,632,8,303,619,0,0
J6,508,10,388,703,195,1
J12,638,8,406,792,154,1
J15,704,6,459,859,155,1
J9,702,8,553,923,221,1
J16,502,5,626,1000,498,1
J19,688,6,638,1055,367,1
J4,616,5,713,1150,534,1
J11,476,4,803,1244,768,1
J10,644,5,825,1277,633,1
J7,578,3,920,1375,797,1
J17,474,2,962,1466,992,1

TT,TWT,T_max,NT,,,
5413,24595,992,14,,,
