Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J3,486,8,0,243,0,0
J14,184,3,27,252,68,1
J19,476,6,67,332,0,0
J10,390,5,110,363,0,0
J6,492,10,155,461,0,0
J20,524,2,210,533,9,1
J12,548,8,260,604,56,1
J2,548,4,303,634,86,1
J8,536,7,341,667,131,1
J18,482,8,404,723,241,1
J15,510,6,463,804,294,1
J16,514,5,500,855,341,1
J4,530,5,554,890,360,1
J17,492,2,642,966,474,1
J5,604,7,677,1019,415,1
J11,604,4,772,1074,470,1
J7,572,3,858,1168,596,1
J9,564,8,912,1245,681,1
J1,640,7,935,1314,674,1
J13,696,8,961,1392,696,1

TT,TWT,T_max,NT,,,
5592,32383,696,16,,,
