Job,Due date,Weight,Start M1,Completion Cj,Tardiness,Tardy
J13,382,8,0,191,0,0
J9,438,8,9,273,0,0
J18,310,8,51,291,0,0
J16,518,5,99,360,0,0
J14,480,3,128,396,0,0
J4,446,5,154,442,0,0
J6,484,10,216,478,0,0
J19,614,6,309,618,4,1
J8,546,7,366,667,121,1
J12,614,8,438,745,131,1
J11,636,4,517,878,242,1
J3,586,8,556,922,336,1
J15,646,6,655,995,349,1
J10,662,5,727,1069,407,1
J1,730,7,792,1157,427,1
J5,768,7,845,1234,466,1
J20,528,2,933,1306,778,1
J7,666,3,1028,1368,702,1
J2,650,4,1062,1455,805,1
J17,568,2,1081,1536,968,1

TT,TWT,T_max,NT,,,
5736,24773,968,13,,,
