Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J11,340,0,170,0,0
J7,354,2,227,0,0
J16,410,39,308,0,0
J5,336,53,319,0,0
J15,350,71,330,0,0
J19,406,104,404,0,0
J12,398,140,453,55,1
J18,494,179,505,11,1
J9,286,201,515,229,1
J20,474,257,542,68,1
J13,524,322,635,111,1
J1,518,413,677,159,1
J17,480,440,728,248,1
J6,632,528,863,231,1
J10,536,569,903,367,1
J14,580,589,937,357,1
J3,658,670,1011,353,1
J8,664,745,1112,448,1
J4,486,803,1122,636,1
J2,628,897,1218,590,1

Status,TT,,,,
FEASIBLE,3863,,,,
