Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J10,230,0,121,0,0
J13,472,3,247,0,0
J1,332,30,292,0,0
J9,476,45,339,0,0
J14,310,87,361,51,1
J16,374,117,400,26,1
J17,496,132,480,0,0
J19,500,220,517,17,1
J2,472,270,593,121,1
J15,432,334,636,204,1
J7,488,343,675,187,1
J18,444,370,691,247,1
J12,540,425,743,203,1
J4,536,479,814,278,1
J20,576,527,910,334,1
J3,636,584,974,338,1
J11,564,648,1074,510,1
J5,470,659,1132,662,1
J8,688,668,1226,538,1
J6,860,702,1340,480,1

Status,TT,,,,
FEASIBLE,4196,,,,
