Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J15,510,0,255,0,0
J14,184,37,264,80,1
J3,486,77,325,0,0
J10,390,104,356,0,0
J17,492,149,432,0,0
J20,524,184,504,0,0
J12,548,234,575,27,1
J2,548,277,605,57,1
J16,514,315,656,142,1
J11,604,369,710,106,1
J8,536,455,743,207,1
J19,476,518,823,347,1
J4,530,561,860,330,1
J18,482,649,916,434,1
J6,492,708,1014,522,1
J5,604,763,1067,463,1
J7,572,858,1161,589,1
J9,564,912,1238,674,1
J1,640,935,1307,667,1
J13,696,961,1385,689,1

Status,TT,,,,
FEASIBLE,5334,,,,
