job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,332,15,28,77,1,45
2,472,64,4,36,59,73
3,636,64,43,57,95,59
4,536,48,93,15,49,63
5,470,9,1,81,90,54
6,860,91,81,82,78,98
7,488,27,77,98,3,39
8,688,34,69,97,69,75
9,476,42,52,12,99,33
10,230,3,28,35,41,8
11,564,11,28,84,73,86
12,540,54,77,70,28,41
13,472,27,42,27,99,41
14,310,30,53,37,13,22
15,432,9,46,59,59,43
16,374,15,49,42,47,34
17,496,88,15,57,8,80
18,444,55,43,16,92,16
19,500,50,65,11,87,37
20,576,57,41,34,62,94
