job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,640,26,59,78,88,69
2,548,38,62,90,54,30
3,486,27,44,64,47,61
4,530,88,10,49,83,35
5,604,95,23,47,84,53
6,492,55,64,20,9,98
7,572,54,47,61,30,94
8,536,63,68,93,11,33
9,564,23,54,36,92,77
10,390,45,9,47,63,31
11,604,86,30,70,62,54
12,548,43,31,54,75,71
13,696,43,92,87,48,78
14,184,40,7,13,23,9
15,510,37,14,40,85,79
16,514,54,95,34,23,51
17,492,35,76,55,4,76
18,482,59,82,13,31,56
19,476,43,91,11,13,80
20,524,50,37,5,98,72
