job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,546,54,79,16,66,58
2,578,83,3,89,58,56
3,252,15,11,49,31,20
4,676,71,99,15,68,85
5,706,77,56,89,78,53
6,554,36,70,45,91,35
7,556,53,99,60,13,53
8,442,38,60,23,59,41
9,414,27,5,57,49,69
10,610,87,56,64,85,13
11,514,76,3,7,85,86
12,468,91,61,1,9,72
13,394,14,73,63,39,8
14,470,29,75,41,41,49
15,450,12,47,63,56,47
16,530,77,14,47,40,87
17,382,32,21,26,54,58
18,686,87,86,75,77,18
19,538,68,5,77,51,68
20,540,94,77,40,31,28
