job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,650,37,59,65,70,94
2,494,36,16,94,3,98
3,586,1,90,96,43,63
4,302,4,3,47,14,83
5,440,64,76,35,26,19
6,688,74,74,34,83,79
7,436,32,22,84,26,54
8,486,67,30,3,65,78
9,596,73,89,60,47,29
10,408,7,61,34,94,8
11,600,78,39,70,75,38
12,526,64,15,57,30,97
13,474,98,69,8,1,61
14,544,60,57,74,71,10
15,388,89,9,13,46,37
16,404,49,13,37,87,16
17,632,2,71,87,78,78
18,648,79,2,71,76,96
19,572,79,34,89,75,9
20,610,53,49,57,55,91
