job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,518,27,79,22,93,38
2,628,92,23,93,22,84
3,658,75,66,62,64,62
4,486,94,5,53,81,10
5,336,18,15,30,94,11
6,632,41,51,34,97,93
7,354,37,2,27,54,57
8,664,58,81,30,82,81
9,286,56,12,54,11,10
10,536,20,40,77,91,40
11,340,2,59,24,23,62
12,398,39,32,47,32,49
13,524,91,16,39,26,90
14,580,81,87,66,22,34
15,350,33,78,41,12,11
16,410,14,41,46,23,81
17,480,88,43,24,34,51
18,494,22,94,23,87,21
19,406,36,1,68,59,39
20,474,65,93,50,2,27
