job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,396,61,27,42,13,55
2,732,86,92,93,47,48
3,236,16,8,32,6,56
4,582,42,65,30,70,84
5,210,14,34,16,19,22
6,682,92,6,95,97,51
7,502,67,42,58,41,43
8,358,77,39,12,1,50
9,524,46,2,95,57,62
10,380,41,7,21,60,61
11,618,78,85,74,62,10
12,348,3,32,38,14,87
13,558,72,14,4,90,99
14,632,95,74,31,76,40
15,554,53,59,62,12,91
16,692,59,95,39,89,64
17,556,34,48,97,37,62
18,496,66,37,57,35,53
19,468,42,59,9,91,33
20,412,63,4,54,69,16
