job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,730,53,93,90,65,64
2,650,19,79,92,97,38
3,586,99,88,35,27,44
4,446,62,77,13,25,46
5,768,88,94,75,61,66
6,484,93,39,55,24,31
7,666,34,74,80,97,48
8,546,72,46,67,61,27
9,438,42,17,3,75,82
10,662,65,30,93,92,51
11,636,39,62,54,73,90
12,614,79,77,67,21,63
13,382,9,43,25,29,85
14,480,26,98,77,3,36
15,646,72,48,38,96,69
16,518,29,14,98,51,67
17,568,36,45,96,26,81
18,310,48,25,20,44,18
19,614,57,98,15,56,81
20,528,95,30,36,31,72
