job,due_date,p_machine1,p_machine2,p_machine3,p_machine4,p_machine5
1,514,71,13,61,21,91
2,168,27,11,25,8,13
3,384,55,73,52,5,7
4,616,90,43,72,8,95
5,410,11,27,89,58,20
6,508,18,33,75,59,69
7,578,42,57,60,85,45
8,426,64,42,28,35,44
9,702,73,71,94,84,29
10,644,95,3,95,97,32
11,476,22,11,18,93,94
12,638,53,49,73,60,84
13,478,32,8,40,99,60
14,294,5,3,61,29,49
15,704,94,47,68,94,49
16,502,12,58,75,41,65
17,474,41,23,37,51,85
18,632,85,79,13,87,52
19,688,75,99,65,97,8
20,274,38,23,7,11,58
