Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J3,724,0,362,0,0
J11,880,10,477,0,0
J24,794,34,557,0,0
J45,686,60,569,0,0
J28,838,78,641,0,0
J42,874,116,699,0,0
J39,970,144,787,0,0
J37,892,152,838,0,0
J41,862,231,862,0,0
J44,820,258,887,67,1
J35,886,292,915,29,1
J33,952,366,975,23,1
J38,848,413,1073,225,1
J25,1056,470,1127,71,1
J40,888,510,1210,322,1
J49,1006,556,1247,241,1
J21,984,584,1306,322,1
J43,1136,648,1327,191,1
J27,972,710,1388,416,1
J32,940,769,1480,540,1
J5,810,853,1553,743,1
J22,1192,884,1569,377,1
J20,962,922,1594,632,1
J17,1004,987,1682,678,1
J23,740,1070,1695,955,1
J26,910,1124,1791,881,1
J14,1210,1199,1864,654,1
J16,930,1270,1873,943,1
J10,1040,1272,1970,930,1
J31,880,1317,2019,1139,1
J29,1286,1381,2115,829,1
J30,1252,1421,2206,954,1
J9,1050,1510,2247,1197,1
J12,898,1538,2248,1350,1
J15,840,1606,2322,1482,1
J48,1288,1676,2380,1092,1
J34,944,1702,2425,1481,1
J6,1152,1764,2483,1331,1
J50,1124,1816,2514,1390,1
J7,904,1894,2515,1611,1
J19,922,1929,2623,1701,1
J47,1044,2026,2709,1665,1
J4,1096,2100,2710,1614,1
J13,1280,2187,2839,1559,1
J46,1300,2281,2965,1665,1
J1,1138,2344,3015,1877,1
J18,1142,2409,3033,1891,1
J2,1288,2494,3183,1895,1
J8,1170,2498,3195,2025,1
J36,1376,2587,3360,1984,1

Status,TT,,,,
FEASIBLE,40972,,,,
