Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J33,358,0,297,0,0
J44,870,3,471,0,0
J23,1098,8,612,0,0
J2,1106,15,683,0,0
J50,778,55,743,0,0
J45,718,154,776,58,1
J1,878,178,806,0,0
J47,866,246,865,0,0
J39,1084,285,940,0,0
J46,1116,332,1008,0,0
J40,882,384,1067,185,1
J48,1174,462,1133,0,0
J6,906,476,1164,258,1
J42,970,535,1193,223,1
J38,822,546,1235,413,1
J41,1158,616,1270,112,1
J13,822,676,1312,490,1
J36,982,699,1351,369,1
J37,1016,723,1468,452,1
J29,638,795,1490,852,1
J30,664,878,1521,857,1
J34,1078,920,1568,490,1
J28,928,929,1623,695,1
J32,1028,1014,1733,705,1
J26,896,1078,1737,841,1
J19,954,1145,1747,793,1
J25,644,1214,1771,1127,1
J49,854,1268,1788,934,1
J20,902,1333,1923,1021,1
J16,1150,1389,2064,914,1
J27,1038,1446,2100,1062,1
J35,1090,1461,2155,1065,1
J5,862,1496,2200,1338,1
J14,1128,1583,2262,1134,1
J8,1132,1603,2321,1189,1
J31,934,1692,2370,1436,1
J24,1098,1721,2395,1297,1
J7,824,1795,2406,1582,1
J21,1028,1862,2548,1520,1
J18,1140,1878,2645,1505,1
J22,1034,1885,2655,1621,1
J43,1090,1926,2668,1578,1
J9,904,1986,2733,1829,1
J15,850,2070,2777,1927,1
J12,1074,2167,2890,1816,1
J10,916,2257,2897,1981,1
J4,1212,2300,3015,1803,1
J3,1424,2372,3155,1731,1
J17,1258,2415,3190,1932,1
J11,1288,2448,3306,2018,1

Status,TT,,,,
FEASIBLE,43153,,,,
