Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J24,682,0,341,0,0
J4,800,2,417,0,0
J28,792,32,450,0,0
J25,878,46,524,0,0
J49,612,47,569,0,0
J45,886,85,651,0,0
J16,690,142,703,13,1
J12,684,200,717,33,1
J19,778,203,768,0,0
J46,860,260,819,0,0
J39,718,283,836,118,1
J27,662,284,884,222,1
J40,1160,292,1011,0,0
J47,1294,369,1100,0,0
J10,874,387,1135,261,1
J26,912,392,1194,282,1
J48,1050,470,1216,166,1
J36,734,558,1268,534,1
J23,982,581,1292,310,1
J37,734,659,1340,606,1
J35,1008,752,1390,382,1
J8,654,795,1412,758,1
J31,886,815,1461,575,1
J1,1058,865,1564,506,1
J32,964,931,1608,644,1
J22,730,1019,1630,900,1
J43,1276,1038,1745,469,1
J3,906,1094,1793,887,1
J14,852,1119,1834,982,1
J9,1024,1153,1916,892,1
J17,990,1226,1933,943,1
J15,706,1274,1937,1231,1
J18,924,1355,2047,1123,1
J7,1000,1426,2050,1050,1
J2,988,1443,2156,1168,1
J30,986,1489,2178,1192,1
J50,1222,1587,2244,1022,1
J21,928,1659,2268,1340,1
J11,866,1667,2344,1478,1
J6,1034,1727,2366,1332,1
J41,1110,1767,2469,1359,1
J29,1240,1821,2564,1324,1
J5,988,1867,2611,1623,1
J13,1422,1884,2699,1277,1
J44,1270,1975,2750,1480,1
J34,1144,2029,2838,1694,1
J20,1240,2095,2923,1683,1
J33,1110,2100,2999,1889,1
J38,1304,2128,3091,1787,1
J42,1402,2180,3169,1767,1

Status,TT,,,,
FEASIBLE,37302,,,,
