Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J5,772,0,386,0,0
J10,790,7,460,0,0
J22,978,41,587,0,0
J17,974,74,615,0,0
J14,1216,92,771,0,0
J7,850,123,776,0,0
J13,846,179,807,0,0
J9,706,204,817,111,1
J16,1042,209,926,0,0
J8,936,278,987,51,1
J6,1062,371,1030,0,0
J3,942,394,1069,127,1
J20,638,424,1154,516,1
J1,1140,426,1266,126,1
J39,972,475,1318,346,1
J24,986,535,1338,352,1
J29,836,554,1411,575,1
J34,964,649,1486,522,1
J48,1006,722,1514,508,1
J2,1186,773,1610,424,1
J42,746,783,1623,877,1
J49,1056,836,1626,570,1
J27,926,861,1644,718,1
J33,842,959,1686,844,1
J44,750,996,1767,1017,1
J28,980,1026,1820,840,1
J19,816,1075,1841,1025,1
J50,1016,1114,1862,846,1
J32,1150,1164,1973,823,1
J46,844,1219,2071,1227,1
J26,1224,1272,2090,866,1
J18,872,1369,2098,1226,1
J35,1204,1384,2194,990,1
J31,956,1475,2268,1312,1
J30,1052,1477,2278,1226,1
J40,1042,1548,2383,1341,1
J41,1122,1601,2460,1338,1
J43,1326,1639,2477,1151,1
J45,932,1729,2504,1572,1
J4,1204,1743,2627,1423,1
J25,1050,1828,2640,1590,1
J36,1048,1847,2722,1674,1
J15,1340,1905,2805,1465,1
J12,1226,1978,2900,1674,1
J11,1144,2056,2956,1812,1
J37,896,2128,2983,2087,1
J23,1060,2161,3128,2068,1
J21,1116,2185,3185,2069,1
J38,1148,2240,3234,2086,1
J47,1632,2318,3350,1718,1

Status,TT,,,,
FEASIBLE,43133,,,,
