Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J49,828,0,414,0,0
J33,828,12,510,0,0
J28,834,30,596,0,0
J50,852,92,691,0,0
J31,956,111,748,0,0
J46,742,178,780,38,1
J42,698,205,810,112,1
J1,758,230,816,58,1
J23,840,242,897,57,1
J44,880,254,911,31,1
J24,738,305,933,195,1
J48,634,325,939,305,1
J47,912,401,1005,93,1
J3,722,434,1057,335,1
J45,968,452,1102,134,1
J38,896,521,1209,313,1
J43,1038,543,1220,182,1
J41,1096,586,1292,196,1
J12,1110,665,1487,377,1
J36,1210,684,1515,305,1
J35,782,776,1530,748,1
J34,1120,777,1633,513,1
J22,726,787,1651,925,1
J27,1018,798,1657,639,1
J26,926,850,1735,809,1
J10,846,922,1827,981,1
J25,988,955,1849,861,1
J30,1004,1016,1894,890,1
J11,844,1083,1951,1107,1
J7,810,1159,1967,1157,1
J32,1038,1172,2047,1009,1
J21,1234,1240,2139,905,1
J5,992,1280,2143,1151,1
J29,1114,1322,2237,1123,1
J18,978,1407,2247,1269,1
J14,882,1415,2322,1440,1
J40,1012,1508,2353,1341,1
J13,1014,1567,2402,1388,1
J17,938,1661,2446,1508,1
J6,1132,1721,2519,1387,1
J2,1062,1797,2530,1468,1
J9,952,1869,2620,1668,1
J15,990,1904,2635,1645,1
J4,1168,1968,2729,1561,1
J8,1334,2053,2810,1476,1
J37,1100,2135,2870,1770,1
J20,1174,2201,2954,1780,1
J19,1232,2257,3036,1804,1
J16,1282,2323,3109,1827,1
J39,1240,2405,3188,1948,1

Status,TT,,,,
FEASIBLE,40829,,,,
