Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J47,1072,0,536,0,0
J21,560,7,545,0,0
J5,934,39,598,0,0
J28,488,69,604,116,1
J41,830,80,704,0,0
J40,828,171,738,0,0
J39,768,187,764,0,0
J15,878,261,832,0,0
J31,784,282,893,109,1
J42,1180,351,982,0,0
J43,928,391,1054,126,1
J30,1044,450,1066,22,1
J36,914,522,1123,209,1
J35,950,610,1217,267,1
J37,1148,651,1282,134,1
J13,656,701,1326,670,1
J33,1122,724,1407,285,1
J32,822,772,1442,620,1
J7,918,846,1478,560,1
J29,946,862,1551,605,1
J14,880,895,1606,726,1
J26,940,938,1697,757,1
J24,1064,953,1725,661,1
J23,1094,1041,1752,658,1
J17,826,1126,1829,1003,1
J38,930,1145,1848,918,1
J1,968,1158,1993,1025,1
J19,1064,1214,2021,957,1
J44,976,1294,2046,1070,1
J48,966,1322,2117,1151,1
J20,892,1344,2162,1270,1
J34,870,1400,2213,1343,1
J45,1052,1450,2256,1204,1
J12,1096,1511,2353,1257,1
J3,1050,1573,2369,1319,1
J46,1106,1665,2391,1285,1
J4,1026,1699,2448,1422,1
J16,1248,1765,2532,1284,1
J25,986,1863,2551,1565,1
J11,868,1940,2617,1749,1
J8,1018,1994,2661,1643,1
J27,964,2042,2736,1772,1
J2,1178,2090,2816,1638,1
J22,1018,2168,2852,1834,1
J49,1120,2254,2880,1760,1
J9,1004,2317,2987,1983,1
J10,1370,2347,3081,1711,1
J6,1060,2444,3198,2138,1
J18,1342,2470,3333,1991,1
J50,1324,2487,3427,2103,1

Status,TT,,,,
FEASIBLE,44920,,,,
