Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J18,860,0,430,0,0
J20,928,13,544,0,0
J42,672,32,595,0,0
J49,934,34,639,0,0
J43,1026,66,752,0,0
J44,754,110,786,32,1
J25,974,148,798,0,0
J48,890,155,830,0,0
J45,1130,216,867,0,0
J47,1044,240,1005,0,0
J46,1138,325,1099,0,0
J39,830,401,1109,279,1
J37,834,459,1166,332,1
J4,1114,485,1232,118,1
J32,924,530,1316,392,1
J34,946,553,1326,380,1
J36,1014,569,1419,405,1
J31,962,577,1457,495,1
J26,916,662,1480,564,1
J29,1008,735,1539,531,1
J21,998,747,1562,564,1
J27,630,845,1596,966,1
J40,1258,864,1672,414,1
J41,976,927,1734,758,1
J50,1150,934,1761,611,1
J30,806,1024,1773,967,1
J12,984,1097,1854,870,1
J24,788,1146,1876,1088,1
J28,1096,1190,2021,925,1
J35,970,1259,2032,1062,1
J33,860,1347,2094,1234,1
J2,1056,1400,2179,1123,1
J22,910,1452,2211,1301,1
J1,866,1454,2235,1369,1
J13,1050,1500,2343,1293,1
J19,936,1595,2354,1418,1
J10,1020,1606,2404,1384,1
J16,1118,1681,2501,1383,1
J17,1194,1728,2555,1361,1
J8,952,1812,2578,1626,1
J11,1222,1836,2671,1449,1
J7,944,1902,2695,1751,1
J6,984,1946,2754,1770,1
J9,1332,1956,2832,1500,1
J14,994,2041,2928,1934,1
J3,1140,2102,2979,1839,1
J5,1292,2181,3022,1730,1
J38,1140,2278,3179,2039,1
J23,1304,2320,3205,1901,1
J15,1332,2405,3317,1985,1

Status,TT,,,,
FEASIBLE,43143,,,,
