Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J1,770,0,385,0,0
J6,624,16,442,0,0
J42,792,33,526,0,0
J7,1042,75,612,0,0
J33,716,104,704,0,0
J31,806,120,790,0,0
J8,1036,165,867,0,0
J11,1064,181,962,0,0
J10,836,205,1037,201,1
J9,990,252,1065,75,1
J44,920,346,1088,168,1
J14,1186,389,1185,0,0
J12,874,394,1200,326,1
J15,1068,433,1237,169,1
J17,1282,508,1334,52,1
J13,1138,582,1352,214,1
J48,818,584,1418,600,1
J25,632,597,1428,796,1
J34,770,599,1480,710,1
J3,1080,695,1545,465,1
J22,1100,758,1554,454,1
J27,1078,796,1630,552,1
J50,664,867,1659,995,1
J26,1062,925,1696,634,1
J23,848,936,1719,871,1
J29,978,958,1791,813,1
J30,836,1035,1840,1004,1
J36,866,1092,1886,1020,1
J18,1166,1144,1959,793,1
J2,960,1240,2077,1117,1
J46,1026,1330,2132,1106,1
J24,1322,1364,2215,893,1
J32,1020,1440,2223,1203,1
J20,1030,1498,2262,1232,1
J28,1200,1542,2312,1112,1
J16,1154,1636,2365,1211,1
J21,966,1643,2413,1447,1
J4,1240,1706,2468,1228,1
J37,1258,1779,2523,1265,1
J19,1226,1836,2583,1357,1
J43,934,1930,2621,1687,1
J35,1056,2012,2728,1672,1
J39,900,2053,2751,1851,1
J45,920,2127,2791,1871,1
J40,1122,2174,2880,1758,1
J49,1156,2209,2977,1821,1
J5,1314,2242,3070,1756,1
J38,1354,2299,3132,1778,1
J41,1258,2338,3170,1912,1
J47,1324,2390,3268,1944,1

Status,TT,,,,
FEASIBLE,42133,,,,
