Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J44,926,0,463,0,0
J38,812,4,497,0,0
J21,670,37,544,0,0
J49,768,67,667,0,0
J39,886,81,704,0,0
J27,818,133,789,0,0
J12,882,138,874,0,0
J47,1092,226,950,0,0
J30,1030,284,1003,0,0
J37,818,295,1006,188,1
J1,1222,389,1107,0,0
J48,1154,407,1148,0,0
J43,1078,453,1201,123,1
J45,836,492,1206,370,1
J50,1124,542,1233,109,1
J41,724,626,1311,587,1
J46,1186,663,1397,211,1
J4,844,753,1484,640,1
J42,956,844,1486,530,1
J34,1018,891,1524,506,1
J3,1232,938,1626,394,1
J29,962,1011,1659,697,1
J40,938,1060,1687,749,1
J36,1152,1072,1772,620,1
J19,656,1164,1811,1155,1
J24,1026,1191,1876,850,1
J2,812,1252,1879,1067,1
J10,792,1329,1938,1146,1
J23,906,1350,1959,1053,1
J22,1138,1413,2056,918,1
J17,1022,1450,2145,1123,1
J28,936,1501,2219,1283,1
J33,1016,1583,2230,1214,1
J13,998,1640,2293,1295,1
J20,1226,1731,2386,1160,1
J9,914,1778,2416,1502,1
J7,1102,1820,2491,1389,1
J14,722,1878,2512,1790,1
J6,1104,1956,2607,1503,1
J31,1352,1966,2660,1308,1
J15,734,2045,2738,2004,1
J8,908,2115,2791,1883,1
J11,1204,2185,2886,1682,1
J5,1230,2196,2946,1716,1
J32,1218,2292,3015,1797,1
J16,1212,2370,3087,1875,1
J18,1250,2423,3139,1889,1
J26,1232,2519,3201,1969,1
J25,1500,2599,3349,1849,1
J35,1554,2672,3449,1895,1

Status,TT,,,,
FEASIBLE,44039,,,,
