Job,Due date,Start M1,Completion Cj,Tardiness,Tardy
J9,1084,0,542,0,0
J6,678,2,545,0,0
J1,1068,57,691,0,0
J13,856,86,723,0,0
J12,1036,112,763,0,0
J31,902,153,832,0,0
J2,930,244,886,0,0
J3,1022,272,952,0,0
J10,1082,335,1014,0,0
J42,1032,380,1112,80,1
J49,954,385,1143,189,1
J40,768,417,1196,428,1
J4,1166,453,1199,33,1
J48,788,526,1284,496,1
J41,624,587,1321,697,1
J17,750,616,1331,581,1
J18,786,658,1374,588,1
J26,632,730,1390,758,1
J8,1118,737,1479,361,1
J28,1082,819,1566,484,1
J36,810,829,1603,793,1
J45,1056,920,1610,554,1
J46,904,993,1685,781,1
J34,838,1058,1686,848,1
J32,1056,1156,1786,730,1
J16,1088,1178,1866,778,1
J38,944,1188,1886,942,1
J30,1056,1274,1911,855,1
J20,928,1347,1970,1042,1
J24,1174,1392,2016,842,1
J11,1062,1441,2076,1014,1
J33,750,1486,2143,1393,1
J23,842,1549,2154,1312,1
J21,820,1593,2239,1419,1
J15,1014,1647,2253,1239,1
J35,1108,1699,2326,1218,1
J27,696,1791,2383,1687,1
J29,1114,1848,2441,1327,1
J22,948,1911,2484,1536,1
J44,1034,1982,2594,1560,1
J7,1078,2063,2645,1567,1
J43,1172,2142,2739,1567,1
J37,1108,2219,2863,1755,1
J19,1440,2247,2967,1527,1
J5,1486,2306,3053,1567,1
J14,1376,2405,3104,1728,1
J25,1140,2492,3147,2007,1
J47,1326,2570,3245,1919,1
J39,1298,2642,3342,2044,1
J50,1344,2718,3446,2102,1

Status,TT,,,,
FEASIBLE,44348,,,,
